ds,ora,article,y,pret
10/24/2023,12:56,BOULE POLKA,1,"1,60 €"
10/25/2023,12:57,VIK BREAD,1,"2,50 €"
10/26/2023,12:57,COUPE,1,"0,15 €"
10/27/2023,12:57,CEREAL BAGUETTE,1,"1,25 €"
10/28/2023,12:58,GRAND FAR BRETON,1,"7,00 €"
10/29/2023,12:58,BAGUETTE,1,"0,90 €"
10/30/2023,12:58,CEREAL BAGUETTE,2,"1,25 €"
10/31/2023,12:59,GAL POMME 4P,1,"8,00 €"
11/1/2023,12:59,CAMPAGNE,1,"1,80 €"
11/2/2023,13:00,BAGUETTE,2,"0,90 €"
11/3/2023,13:01,BAGUETTE,2,"0,90 €"
11/4/2023,13:03,BOULE 400G,1,"1,50 €"
11/5/2023,13:03,KOUIGN AMANN,2,"2,10 €"
11/6/2023,13:03,COUPE,1,"0,15 €"
11/7/2023,13:05,COUPE,1,"0,15 €"
11/8/2023,13:05,COMPLET,1,"1,50 €"
11/9/2023,13:06,PAIN BANETTE,2,"1,40 €"
11/10/2023,13:07,COUPE,1,"0,15 €"
11/11/2023,13:07,FICELLE,1,"0,60 €"
11/12/2023,13:07,BANETTINE,1,"0,60 €"
11/13/2023,13:07,VIK BREAD,1,"2,50 €"
11/14/2023,13:09,BOULE 200G,1,"1,10 €"
11/15/2023,13:09,COUPE,1,"0,15 €"
11/16/2023,13:10,GRAND FAR BRETON,2,"7,00 €"
11/17/2023,13:14,CAMPAGNE,1,"1,80 €"
11/18/2023,13:14,COUPE,1,"0,15 €"
11/19/2023,13:17,COUPE,1,"0,15 €"
11/20/2023,13:17,MOISSON,1,"2,00 €"
11/21/2023,13:17,COUPE,1,"0,15 €"
11/22/2023,13:17,CAMPAGNE,1,"1,80 €"
11/23/2023,13:17,GD KOUIGN AMANN,1,"7,50 €"
11/24/2023,13:19,COUPE,1,"0,15 €"
11/25/2023,13:19,BOULE 200G,1,"1,10 €"
11/26/2023,13:19,BOULE 200G,1,"1,10 €"
11/27/2023,13:19,COUPE,1,"0,15 €"
11/28/2023,13:21,COUPE,1,"0,15 €"
11/29/2023,13:21,BOULE 400G,1,"1,50 €"
11/30/2023,13:22,COUPE,1,"0,15 €"
12/1/2023,13:22,CAMPAGNE,1,"1,80 €"
12/2/2023,13:24,GAL POMME 4P,1,"8,00 €"
12/3/2023,13:24,CAMPAGNE,1,"1,80 €"
12/4/2023,13:24,COUPE,1,"0,15 €"
12/5/2023,13:25,MOISSON,1,"2,00 €"
12/6/2023,13:25,COUPE,1,"0,15 €"
12/7/2023,13:25,GAL POMME 4P,1,"8,00 €"
12/8/2023,13:28,BOULE 200G,1,"1,10 €"
12/9/2023,13:28,SEIGLE,1,"1,80 €"
12/10/2023,13:30,DEMI BAGUETTE,1,"0,45 €"
12/11/2023,13:33,COUPE,1,"0,15 €"
12/12/2023,13:33,BOULE 200G,1,"1,10 €"
12/13/2023,13:36,BOULE 400G,1,"1,50 €"
12/14/2023,13:39,COUPE,1,"0,15 €"
12/15/2023,13:39,CAMPAGNE,1,"1,80 €"
12/16/2023,13:40,GAL FRANGIPANE 6P,1,"12,00 €"
12/17/2023,13:40,PAIN AU CHOCOLAT,3,"1,20 €"
12/18/2023,13:40,CROISSANT,1,"1,10 €"
12/19/2023,13:40,QUIM BREAD,2,"1,00 €"
12/20/2023,13:41,COUPE,1,"0,15 €"
12/21/2023,13:41,CAMPAGNE,1,"1,80 €"
12/22/2023,13:42,COMPLET,1,"1,50 €"
12/23/2023,13:44,VIK BREAD,1,"2,50 €"
12/24/2023,13:44,COUPE,1,"0,15 €"
12/25/2023,13:44,COMPLET,1,"1,50 €"
12/26/2023,13:44,COUPE,1,"0,15 €"
12/27/2023,13:49,PAIN,1,"1,15 €"
12/28/2023,13:55,CAMPAGNE,1,"1,80 €"
12/29/2023,13:55,BOULE 400G,1,"1,50 €"
12/30/2023,13:55,COUPE,1,"0,15 €"
12/31/2023,13:55,COUPE,1,"0,15 €"
1/1/2024,14:00,COMPLET,1,"1,50 €"
